0.5 + 0.6366 * sin(62832t),10000,-1.44,-32.08,0.5 + -0.9167 * sin(62832t + -32.1*)
0.5 + 0.2122 * sin(188496t),30000,-6.58,-62.05,0.5 + -1.3963 * sin(188496t + -62.0*)
0.5 + 0.1273 * sin(314159t),50000,-10.36,-72.34,0.5 + -1.3191 * sin(314159t + -72.3*)
0.5 + 0.0909 * sin(439823t),70000,-13.08,-77.19,0.5 + -1.1896 * sin(439823t + -77.2*)
0.5 + 0.0707 * sin(565487t),90000,-15.18,-79.97,0.5 + -1.0738 * sin(565487t + -80.0*)
